brand_key,chain,mall_id,mall_name,region
3 sisters green thumb,sm,sm-city-sto-tomas,SM City Sto. Tomas,south-luzon
360 barbers & beauty,fishermall,malabon,Fisher Mall Malabon,metro-manila
360 barbers & beauty,robinsons,robinsons-malolos,Robinsons Place Malolos,north-luzon
360 barbers & beauty salon,robinsons,robinsons-gapan,Robinsons Gapan,north-luzon
360 pharmacy,filinvest,il-corso,IL Corso,visayas
3d dental clinic,ayala,ayala-feliz,Ayala Malls Feliz,metro-manila
3f watch,robinsons,robinsons-dasmarinas,Robinsons Place Dasmarinas,south-luzon
3f watch,robinsons,robinsons-imus,Robinsons Place Imus,south-luzon
3g planet,filinvest,festival-mall,Festival Mall,metro-manila
3geeks,ortigas,greenhills,Greenhills,metro-manila
5 11 tactical series,ayala,ayala-manila-bay,Ayala Malls Manila Bay,metro-manila
5 11 tactical series,ayala,ayala-trinoma,Trinoma,metro-manila
50 50 burger steaks,robinsons,opus,Opus Mall,metro-manila
511 tactical series,sm,sm-mall-of-asia,SM Mall of Asia,metro-manila
528 ilawod cafe,sm,sm-city-legazpi,SM City Legazpi,south-luzon
528 ilawod cafe,sm,sm-city-sorsogon,SM City Sorsogon,south-luzon
529 polish nail studio,sm,sm-city-cabanatuan,SM City Cabanatuan,north-luzon
529 polish nail studio,sm,sm-city-telabastagan,SM City Telabastagan,north-luzon
7 brothers cellphone gallery,robinsons,robinsons-novaliches,Robinsons Novaliches,metro-manila
7 for all mankind,ayala,ayala-greenbelt,Greenbelt,metro-manila
7 luxe,filinvest,festival-mall,Festival Mall,metro-manila
70s kimchi,filinvest,festival-mall,Festival Mall,metro-manila
712 insideout travel tours,sm,sm-cdo-downtown,SM CDO Downtown Premier,mindanao
789 fresh mart,megaworld,venice-grand-canal-mall,Venice Grand Canal Mall,metro-manila
7c silver,robinsons,robinsons-imus,Robinsons Place Imus,south-luzon
7c silver,robinsons,robinsons-lipa,Robinsons Place Lipa,south-luzon
7eleven,araneta,ali-mall,Ali Mall,metro-manila
7eleven,araneta,farmers-plaza,Farmers Plaza,metro-manila
7eleven,araneta,gateway-mall,Gateway Mall,metro-manila
7eleven,ayala,ayala-abreeza,Abreeza,mindanao
7eleven,ayala,ayala-fairview-mall,Fairview Terraces,metro-manila
7eleven,ayala,ayala-malls-central-bloc,Ayala Malls Central Bloc,visayas
7eleven,ayala,ayala-manila-bay,Ayala Malls Manila Bay,metro-manila
7eleven,ayala,ayala-pavilion,Pavilion Mall,south-luzon
7eleven,ayala,ayala-serin,Ayala Malls Serin,south-luzon
7eleven,ayala,ayala-the-30th,Ayala Malls The 30th,metro-manila
7eleven,ayala,ayala-up-town-center,U. P. Town Center,metro-manila
7eleven,filinvest,fora,Fora Mall,south-luzon
7eleven,megaworld,arcovia-city,Arcovia City,metro-manila
7eleven,megaworld,eastwood-mall,Eastwood Mall,metro-manila
7eleven,megaworld,festive-walk-mall-iloilo,Festive Walk Mall,visayas
7eleven,megaworld,festive-walk-parade,Festive Walk Parade,visayas
7eleven,megaworld,forbes-town,Forbes Town,metro-manila
7eleven,megaworld,greenhouse-village-square,The Greenhouse at Village Square,metro-manila
7eleven,megaworld,lucky-chinatown-prosperity-wing,Lucky Chinatown - Prosperity Wing,metro-manila
7eleven,megaworld,mactan-newtown,Mactan Newtown,visayas
7eleven,megaworld,mckinley-west,McKinley West,metro-manila
7eleven,megaworld,newport-city,Newport City,metro-manila
7eleven,megaworld,paseo-center,Paseo Center,metro-manila
7eleven,megaworld,san-lorenzo-place-mall,San Lorenzo Place Mall,metro-manila
7eleven,megaworld,southwoods-mall,Southwoods Mall,south-luzon
7eleven,megaworld,uptown-mall,Uptown Mall,metro-manila
7eleven,megaworld,venice-grand-canal-mall,Venice Grand Canal Mall,metro-manila
7eleven,robinsons,robinsons-novaliches,Robinsons Novaliches,metro-manila
7eleven,sm,sm-city-clark,SM City Clark,north-luzon
7eleven,sm,sm-city-dasmarinas,SM City Dasmariñas,south-luzon
7eleven,sm,sm-city-lucena,SM City Lucena,south-luzon
7eleven,sm,sm-city-north-edsa,SM City North Edsa,metro-manila
7eleven,sm,sm-city-pampanga,SM City Pampanga,north-luzon
7eleven,sm,sm-city-taytay,SM City Taytay,metro-manila
7eleven,sm,sm-lanang,SM Lanang,mindanao
7eleven,sm,smdc-mplace-mall,SMDC Mplace Mall,metro-manila
7eleven,sm,smdc-strip-at-princeton,SMDC Strip at Princeton,metro-manila
7eleven,sm,smdc-strip-at-shine,SMDC Strip at Shine,metro-manila
7eleven,sm,wind-residences,Wind Residences,south-luzon
7eleven,waltermart,macapagal,WalterMart W.MALL Macapagal,metro-manila
7eleven,waltermart,makiling,WalterMart Makiling,south-luzon
7luxe,araneta,farmers-plaza,Farmers Plaza,metro-manila
7luxe,megaworld,venice-grand-canal-mall,Venice Grand Canal Mall,metro-manila
7luxe,sm,sm-cherry-antipolo,SM Center Antipolo Downtown,metro-manila
8 cuts burger,megaworld,uptown-mall,Uptown Mall,metro-manila
8 cuts burger blends,sm,sm-mall-of-asia,SM Mall of Asia,metro-manila
8 cuts burger blends,sm,sm-megamall,SM Megamall,metro-manila
8 cuts burgers,ayala,ayala-serendra,Shops at Serendra,metro-manila
8 seconds,robinsons,robinsons-manila,Robinsons Place Manila,metro-manila
8 zettabytes,ortigas,greenhills,Greenhills,metro-manila
80 degrees ktv,sm,sm-city-cagayan-de-oro,SM City CDO Uptown,mindanao
808,sm,the-podium,The Podium,metro-manila
8a performance,araneta,ali-mall,Ali Mall,metro-manila
8cuts burger,ortigas,greenhills,Greenhills,metro-manila
8telcom,ayala,ayala-abreeza,Abreeza,mindanao
8telcom,ayala,ayala-centrio,Centrio Mall,mindanao
8telcom,sm,sm-cdo-downtown,SM CDO Downtown Premier,mindanao
8telcom,sm,sm-city-butuan,SM City Butuan,mindanao
8telcom,sm,sm-city-davao,SM City Davao,mindanao
8telcom,sm,sm-city-general-santos,SM City General Santos,mindanao
8telcom,sm,sm-lanang,SM Lanang,mindanao
8th lane,ayala,ayala-market-market,Market! Market!,metro-manila
8th street spa,sm,sm-city-iloilo,SM City Iloilo,visayas
8th ways spa,megaworld,festive-walk-mall-iloilo,Festive Walk Mall,visayas
9 silog,sm,sm-city-trece-martires,SM City Trece Martires,south-luzon
99 ranch,megaworld,venice-grand-canal-mall,Venice Grand Canal Mall,metro-manila
99 ranch store,waltermart,macapagal,WalterMart W.MALL Macapagal,metro-manila
a,ortigas,greenhills,Greenhills,metro-manila
a & a gadgets,robinsons,robinsons-starmills,Robinsons Starmills,north-luzon
a & b textile,araneta,ali-mall,Ali Mall,metro-manila
a & j cellphone accessories,robinsons,robinsons-iligan,Robinsons Place Iligan,mindanao
a & r beauty,robinsons,robinsons-gentrias,Robinsons Place Gen. Trias,south-luzon
a & ron massage chair,robinsons,robinsons-cainta,Robinsons Cainta,metro-manila
a & s miscellaneous fabric center,ayala,ayala-glorietta,Glorietta,metro-manila
a 1 driving,megaworld,lucky-chinatown-mall,Lucky Chinatown Mall,metro-manila
a 1 driving,megaworld,venice-grand-canal-mall,Venice Grand Canal Mall,metro-manila
a 1 driving,sm,sm-city-bacoor,SM City Bacoor,south-luzon
a 1 driving,sm,sm-city-bf-paranaque,SM City BF Parañaque,metro-manila
a 1 driving,sm,sm-city-bicutan,SM City Bicutan,metro-manila
a 1 driving,sm,sm-city-calamba,SM City Calamba,south-luzon
a 1 driving,sm,sm-city-cebu,SM City Cebu,visayas
a 1 driving,sm,sm-city-dasmarinas,SM City Dasmariñas,south-luzon
a 1 driving,sm,sm-city-davao,SM City Davao,mindanao
a 1 driving,sm,sm-city-east-ortigas,SM City East Ortigas,metro-manila
a 1 driving,sm,sm-city-fairview,SM City Fairview,metro-manila
a 1 driving,sm,sm-city-grand-central,SM City Grand Central,metro-manila
a 1 driving,sm,sm-city-manila,SM City Manila,metro-manila
a 1 driving,sm,sm-city-marikina,SM City Marikina,metro-manila
a 1 driving,sm,sm-city-masinag,SM City Masinag,metro-manila
a 1 driving,sm,sm-city-molino,SM City Molino,south-luzon
a 1 driving,sm,sm-city-north-edsa,SM City North Edsa,metro-manila
a 1 driving,sm,sm-city-san-lazaro,SM City San Lazaro,metro-manila
a 1 driving,sm,sm-city-santa-rosa,SM City Santa Rosa,south-luzon
a 1 driving,sm,sm-city-sta-mesa,SM City Sta. Mesa,metro-manila
