brand_key,display_name,chain,mall_id,mall_name,region
u super service center,U SUPER SERVICE CENTER,robinsons,robinsons-otis,Robinsons Otis,metro-manila
zaki potato fries avenue,ZAKI POTATO FRIES AVENUE,sm,sm-city-lipa,SM City Lipa,south-luzon
zakka,Zakka,filinvest,festival-mall,Festival Mall,metro-manila
moressi,MORESSI,sm,s-maison,S Maison,metro-manila
oxford scents,Oxford Scents,araneta,farmers-plaza,Farmers Plaza,metro-manila
tuna express by holy halo,Tuna Express by Holy Halo,robinsons,robinsons-iligan,Robinsons Place Iligan,mindanao
u green,U-GREEN,robinsons,robinsons-ilocos,Robinsons Place Ilocos,north-luzon
oxims,OXIM'S,sm,sm-city-baliwag,SM City Baliwag,north-luzon
tuna by chonas,TUNA BY CHONAS,sm,sm-city-general-santos,SM City General Santos,mindanao
oxord computer solutions & repair center,Oxord - Computer Solutions & Repair Center,robinsons,robinsons-roxas,Robinsons Place Roxas,visayas
palawan cart,PALAWAN CART,ayala,ayala-market-market,Market! Market!,metro-manila
mossimo satellite selling,MOSSIMO SATELLITE SELLING,robinsons,robinsons-ilocos,Robinsons Place Ilocos,north-luzon
palawan cafe,Palawan Cafe,robinsons,robinsons-palawan,Robinsons Place Palawan,south-luzon
tuna republik,TUNA REPUBLIK,sm,sm-cdo-downtown,SM CDO Downtown Premier,mindanao
tyconnspa,Tyconnspa,robinsons,robinsons-galleria-cebu,Robinsons Galleria Cebu,visayas
palamuti jewelry and accessories shop,PALAMUTI JEWELRY AND ACCESSORIES SHOP,robinsons,robinsons-novaliches,Robinsons Novaliches,metro-manila
palamig kombucha,PALAMIG KOMBUCHA,sm,sm-city-tuguegarao,SM City Tuguegarao,north-luzon
palace,The Palace,megaworld,uptown-parade,Uptown Parade,metro-manila
mother base,Mother Base,ortigas,greenhills,Greenhills,metro-manila
mos simo,MOS SIMO,robinsons,robinsons-pagadian,Robinsons Pagadian,mindanao
zaxy,ZAXY,sm,sm-city-santa-rosa,SM City Santa Rosa,south-luzon
u watch,U-WATCH,sm,sm-city-iloilo,SM City Iloilo,visayas
ugreen philippines,UGreen Philippines,robinsons,robinsons-malabon,Robinsons Town Mall Malabon,metro-manila
palpitate ph,PALPITATE PH,sm,sm-center-dagupan,SM Center Dagupan,north-luzon
mothers fried chicken,MOTHER'S FRIED CHICKEN,ayala,ayala-center-cebu,Ayala Center Cebu,visayas
palpitate coffee,PALPITATE COFFEE,robinsons,robinsons-iloilo,Robinsons Place Iloilo,visayas
mothers cake house,MOTHERS CAKE HOUSE,sm,sm-city-pampanga,SM City Pampanga,north-luzon
tudor lucerne,TUDOR-LUCERNE,ayala,ayala-glorietta,Glorietta,metro-manila
moostea cafe,MOOSTEA CAFE,starmall,san-jose-del-monte,Starmall San Jose del Monte,north-luzon
palawan yogurt,PALAWAN YOGURT,robinsons,robinsons-palawan,Robinsons Place Palawan,south-luzon
ugbo,Ugbo,megaworld,venice-grand-canal-mall,Venice Grand Canal Mall,metro-manila
udc,UDC,sm,sm-city-tuguegarao,SM City Tuguegarao,north-luzon
palawan swing,PALAWAN SWING,robinsons,robinsons-palawan,Robinsons Place Palawan,south-luzon
ucpb atm,UCPB (ATM) TEMPORARILY CLOSED,robinsons,robinsons-bacolod,Robinsons Place Bacolod,visayas
ucc park cafe,UCC Park Cafe,robinsons,robinsons-magnolia,Robinsons Magnolia,metro-manila
palawan pearls & souvenirs,PALAWAN PEARLS & SOUVENIRS,robinsons,robinsons-palawan,Robinsons Place Palawan,south-luzon
ucc mentore,UCC MENTORE,sm,s-maison,S Maison,metro-manila
over again,Over Again,araneta,ali-mall,Ali Mall,metro-manila
zaine cosmetics,ZAINE COSMETICS,starmall,san-jose-del-monte,Starmall San Jose del Monte,north-luzon
tuguegarao co events space,TUGUEGARAO CO-EVENTS SPACE,robinsons,robinsons-tuguegarao,Robinsons Place Tuguegarao,north-luzon
overbreak,Overbreak,megaworld,eastwood-city-walk,Eastwood City Walk,metro-manila
