brand_key,n_malls_araneta,n_malls_ayala,n_malls_filinvest,n_malls_fishermall,n_malls_megaworld,n_malls_ortigas,n_malls_robinsons,n_malls_sm,n_malls_starmall,n_malls_waltermart,n_malls_total,n_chains,in_all_chains,in_multiple_chains,display_name
shawarma shack,0,7,1,1,3,0,21,31,2,3,69,8,False,True,SHAWARMA SHACK
alberto,1,11,1,1,0,1,17,36,0,0,68,7,False,True,ALBERTO
power mac center,0,9,1,0,2,1,9,46,0,0,68,6,False,True,POWER MAC CENTER
bonchon,0,0,2,1,0,0,12,45,2,6,68,6,False,True,BONCHON
uniqlo,1,6,0,1,3,2,8,45,0,0,66,7,False,True,UNIQLO
lighters galore,3,14,1,2,4,1,22,19,0,0,66,8,False,True,LIGHTERS GALORE
silicon valley,0,7,1,0,0,0,14,43,0,0,65,4,False,True,SILICON VALLEY
surplus shop,0,0,0,0,0,0,0,64,0,1,65,2,False,True,SURPLUS SHOP
auntie annes,0,11,0,2,4,2,7,38,0,1,65,7,False,True,AUNTIE ANNES
plains & prints,2,11,1,1,4,1,8,36,0,0,64,8,False,True,PLAINS & PRINTS
crocs,1,8,1,0,2,2,5,45,0,0,64,7,False,True,CROCS
bpi,0,27,1,2,4,2,22,3,0,3,64,8,False,True,BANK OF THE PHILIPPINE ISLANDS
japan home centre,2,16,1,0,3,1,3,3,2,33,64,9,False,True,Japan Home Centre
mister donut,0,6,1,0,1,1,19,31,0,5,64,7,False,True,MISTER DONUT
mr quickie,0,6,1,2,5,1,8,30,2,9,64,9,False,True,MR QUICKIE
sm cinema,0,0,0,0,0,0,0,64,0,0,64,1,False,False,SM CINEMA
abenson,1,16,1,1,2,0,3,2,0,37,63,8,False,True,Abenson
zen zest,2,12,0,0,1,0,6,38,0,4,63,6,False,True,ZEN ZEST
sm supermarket,0,0,0,0,0,0,0,62,0,0,62,1,False,False,SM SUPERMARKET
guess,1,11,1,0,2,1,13,32,0,0,61,7,False,True,GUESS
smart,0,0,0,0,2,0,6,50,0,2,60,4,False,True,SMART
honor,0,0,1,0,0,0,16,39,0,4,60,4,False,True,HONOR
nails glow,0,6,0,0,3,0,10,19,1,21,60,6,False,True,Nails.Glow
havaianas,0,9,0,1,1,1,11,34,0,2,59,7,False,True,HAVAIANAS
relx,0,9,2,1,5,1,0,41,0,0,59,6,False,True,RELX
mr diy,1,13,1,0,5,3,1,7,0,28,59,8,False,True,MR. DIY
buko juan,0,6,1,0,4,0,10,22,0,15,58,6,False,True,BUKO JUAN
quantum,0,0,0,0,1,1,3,53,0,0,58,4,False,True,QUANTUM
digital walker,0,19,1,0,3,2,10,23,0,0,58,6,False,True,DIGITAL WALKER
robinsons supermarket,1,4,1,0,5,0,47,0,0,0,58,5,False,True,Robinsons Supermarket
starbucks,0,20,0,1,17,2,17,0,0,1,58,6,False,True,Starbucks
pc express,0,7,1,2,1,0,7,39,0,0,57,6,False,True,PC EXPRESS
mr kimbob,0,2,0,0,2,0,7,46,0,0,57,4,False,True,MR KIMBOB
pizza hut,0,7,0,1,3,0,5,39,1,1,57,7,False,True,PIZZA HUT
sprinto,0,6,0,0,3,0,12,36,0,0,57,4,False,True,SPRINTO
kuya j restaurant,0,4,1,0,0,0,3,48,0,0,56,4,False,True,KUYA J RESTAURANT
owndays,1,16,1,0,5,2,4,27,0,0,56,7,False,True,OWNDAYS
daiso japan,1,15,1,0,0,0,39,0,0,0,56,4,False,True,Daiso Japan
globe,0,0,0,1,0,0,7,44,0,4,56,4,False,True,GLOBE
mx memoxpress,0,0,0,0,0,0,0,53,0,2,55,2,False,True,MX MEMOXPRESS
audionet,0,11,0,0,0,0,10,32,0,2,55,4,False,True,AUDIONET
mi,0,0,0,0,0,0,2,53,0,0,55,2,False,True,MI
rulls,0,10,1,0,0,0,19,8,1,16,55,6,False,True,RULLS
keycards,0,7,0,0,0,0,4,43,0,0,54,3,False,True,KEYCARDS
kenny rogers,0,0,0,0,3,1,4,46,0,0,54,4,False,True,KENNY ROGERS
bayo,1,8,1,0,1,0,13,30,0,0,54,6,False,True,BAYO
macao imperial tea,0,2,0,0,2,0,11,39,0,0,54,4,False,True,MACAO IMPERIAL TEA
bibingkinitan,0,0,0,1,0,0,7,44,1,0,53,4,False,True,BIBINGKINITAN
dermcare,0,1,0,0,1,0,4,43,2,2,53,6,False,True,DERMCARE
ojo eyewear,2,4,1,0,3,0,10,33,0,0,53,6,False,True,OJO EYEWEAR
cafe mary grace,0,13,1,0,1,0,0,38,0,0,53,4,False,True,CAFE MARY GRACE
pickup coffee,0,13,0,0,7,0,11,9,0,13,53,5,False,True,PICKUP COFFEE
taters,0,10,1,1,0,1,9,29,0,2,53,7,False,True,TATERS
prescripto,2,6,1,0,1,0,9,32,1,1,53,8,False,True,PRESCRIPTO
rulls cellphone and accessories,0,0,0,0,0,0,0,52,0,0,52,1,False,False,RULLS CELLPHONE AND ACCESSORIES
sports central,0,0,0,0,0,2,0,49,0,1,52,3,False,True,SPORTS CENTRAL
handyman,2,0,1,0,0,0,28,1,0,20,52,5,False,True,Handyman
anytime fitness,0,12,3,2,7,1,4,22,0,0,51,7,False,True,ANYTIME FITNESS
sm cinema snackbar,0,0,0,0,0,0,0,51,0,0,51,1,False,False,SM CINEMA SNACKBAR
paotsin,0,5,0,1,4,0,14,0,1,26,51,6,False,True,Paotsin
world of fun,0,0,1,0,0,0,5,33,0,12,51,4,False,True,WORLD OF FUN
nailaholics,0,0,0,0,0,1,1,48,0,0,50,3,False,True,NAILAHOLICS
mendrez,0,8,1,0,0,0,6,34,0,0,49,4,False,True,MENDREZ
tecno,0,2,0,1,0,0,14,24,0,8,49,5,False,True,TECNO
picture city,0,9,0,1,0,0,15,11,1,12,49,6,False,True,Picture City
skechers,1,12,1,0,4,1,15,15,0,0,49,7,False,True,SKECHERS
adidas,0,13,1,1,5,2,9,17,0,0,48,7,False,True,ADIDAS
brunos barbers,0,15,1,0,5,2,5,20,0,0,48,6,False,True,BRUNO'S BARBERS
hey sugar waxing salon,0,13,1,0,0,0,1,33,0,0,48,4,False,True,HEY SUGAR WAXING SALON
chizmozza,0,5,1,2,1,0,16,21,0,2,48,7,False,True,CHIZMOZZA
broadway gems,2,13,2,0,0,0,20,7,2,1,47,7,False,True,BROADWAY GEMS
robinsons appliances,1,4,1,0,0,0,41,0,0,0,47,4,False,True,Robinsons Appliances
sunnies studios,1,6,1,0,2,1,7,29,0,0,47,7,False,True,SUNNIES STUDIOS
cellboy,0,1,0,0,0,0,0,44,2,0,47,3,False,True,CELLBOY
western union,0,0,0,2,0,0,29,0,0,16,47,3,False,True,Western Union
brownies unlimited,0,0,0,1,0,0,1,45,0,0,47,3,False,True,BROWNIES UNLIMITED
buko express,0,3,1,0,1,0,10,22,0,9,46,6,False,True,BUKO EXPRESS
