brand_key,display_name,chain,mall_id,mall_name,region
galerie raphael,GALERIE RAPHAEL,ayala,ayala-center-cebu,Ayala Center Cebu,visayas
gdgt zone,GDGT ZONE,sm,sm-savemore-apalit,SM Savemore Apalit,north-luzon
gcf sta rosa worship center,GCF STA ROSA WORSHIP CENTER,robinsons,robinsons-sta-rosa,Robinsons Sta. Rosa,south-luzon
gcash atm,GCash ATM,megaworld,lucky-chinatown-mall,Lucky Chinatown Mall,metro-manila
gc collectibles,Gc Collectibles,ortigas,greenhills,Greenhills,metro-manila
gb mobile,GB MOBILE,sm,sm-city-marilao,SM City Marilao,north-luzon
gayles flower shop pampanga,GAYLES FLOWER SHOP PAMPANGA,sm,sm-city-pampanga,SM City Pampanga,north-luzon
gen korean bbq house,GEN KOREAN BBQ HOUSE,sm,sm-by-the-bay,SM By the Bay,metro-manila
gemstone jewellery,GEMSTONE JEWELLERY,sm,sm-city-cagayan-de-oro,SM City CDO Uptown,mindanao
gems jewel by carla,GEMS JEWEL BY CARLA,sm,sm-city-butuan,SM City Butuan,mindanao
gems empanada,GEM'S EMPANADA,robinsons,robinsons-la-union,Robinsons Place La Union,north-luzon
gems & jewels,GEMS & JEWELS,ayala,ayala-pavilion,Pavilion Mall,south-luzon
gem gallery,GEM GALLERY,sm,sm-city-north-edsa,SM City North Edsa,metro-manila
gelron street foods,GELRON STREET FOODS,sm,sm-city-cabanatuan,SM City Cabanatuan,north-luzon
gelron lugawan,GELRON LUGAWAN,sm,sm-city-cabanatuan,SM City Cabanatuan,north-luzon
gelrocks,Gelrocks,robinsons,robinsons-lipa,Robinsons Place Lipa,south-luzon
geleen cellphone and accessories,Geleen Cellphone and Accessories,robinsons,robinsons-imus,Robinsons Place Imus,south-luzon
gelato by chef miko,Gelato by Chef Miko,ortigas,greenhills,Greenhills,metro-manila
geh20,GEH20,sm,sm-city-cabanatuan,SM City Cabanatuan,north-luzon
gegatech,Gegatech,robinsons,robinsons-butuan,Robinsons Place Butuan,mindanao
geewan,GEEWAN,sm,sm-city-naga,SM City Naga,south-luzon
gambas stuffed toys,Gamba’s Stuffed Toys,filinvest,fora,Fora Mall,south-luzon
gam ja friez,GAM JA FRIEZ,robinsons,robinsons-metro-east,Robinsons Metro East,metro-manila
gadgets station,GADGETS STATION,sm,sm-city-sta-mesa,SM City Sta. Mesa,metro-manila
gadgets lab,GADGETS LAB,robinsons,robinsons-metro-east,Robinsons Metro East,metro-manila
gadgetologie,Gadgetologie,ortigas,greenhills,Greenhills,metro-manila
gadgetmate,Gadgetmate,robinsons,galleria-south,Robinsons Galleria South,south-luzon
gadgetcore cellphone & accessories shop,Gadgetcore Cellphone & Accessories Shop,araneta,ali-mall,Ali Mall,metro-manila
gadgetbot,GADGETBOT,sm,sm-city-fairview,SM City Fairview,metro-manila
gadget zone,Gadget Zone,robinsons,robinsons-pavia,Robinsons Place Pavia,visayas
gadget world,GADGET WORLD,sm,sm-city-sucat,SM City Sucat,metro-manila
george & onnies,George & Onnie’s,megaworld,mckinley-west,McKinley West,metro-manila
george,GEORGE,ayala,ayala-center-cebu,Ayala Center Cebu,visayas
geocon by gadget get,Geocon By Gadget Get,ortigas,greenhills,Greenhills,metro-manila
gentext telecom,Gentext Telecom,robinsons,robinsons-starmills,Robinsons Starmills,north-luzon
genoveza sabor ilonggo pasalubong center,GENOVEZA SABOR ILONGGO PASALUBONG CENTER,sm,sm-city-iloilo,SM City Iloilo,visayas
generika drugstore,GENERIKA DRUGSTORE,ayala,ayala-the-district-dasmarinas,The District Dasmarinas,south-luzon
generic pharmacy,The Generic Pharmacy,robinsons,robinsons-luisita,Robinsons Luisita,north-luzon
general photo,GENERAL PHOTO,ayala,ayala-glorietta,Glorietta,metro-manila
ggi massage wellness centre,GGI MASSAGE WELLNESS CENTRE,sm,sm-seaside-city-cebu,SM Seaside City Cebu,visayas
gforce dance center,Gforce Dance Center,filinvest,festival-mall,Festival Mall,metro-manila
getwell health system,Getwell Health System,fishermall,malabon,Fisher Mall Malabon,metro-manila
getaway body nails spa,THE GETAWAY BODY NAILS SPA,sm,sm-city-sta-mesa,SM City Sta. Mesa,metro-manila
get technologies,GET TECHNOLOGIES,robinsons,robinsons-palawan,Robinsons Place Palawan,south-luzon
gerrs grill,GERR'S GRILL,robinsons,robinsons-pagadian,Robinsons Pagadian,mindanao
geri,Geri,megaworld,venice-grand-canal-mall,Venice Grand Canal Mall,metro-manila
geralds,GERALD'S,waltermart,sucat,WalterMart Sucat,metro-manila
