chain,mall_id,mall_name,region,address,mall_code,source_url,property_type,lat,lon,geo_source,geo_precision,scraped_at
waltermart,paniqui,WalterMart Paniqui,north-luzon,,,https://malls.waltermart.com.ph/malls/paniqui/,mall,15.667829,120.585837,nominatim,exact,2026-08-30
waltermart,plaridel,WalterMart Plaridel,north-luzon,,,https://malls.waltermart.com.ph/malls/plaridel/,mall,14.88201,120.865795,nominatim,exact,2026-08-30
waltermart,san-fernando,WalterMart San Fernando,north-luzon,,,https://malls.waltermart.com.ph/malls/san-fernando/,mall,15.047974,120.665731,nominatim,exact,2026-08-30
waltermart,san-jose,WalterMart San Jose,north-luzon,,,https://malls.waltermart.com.ph/malls/san-jose/,mall,15.797778,120.993717,nominatim,exact,2026-08-30
waltermart,san-pascual,WalterMart San Pascual,south-luzon,,,https://malls.waltermart.com.ph/malls/san-pascual/,mall,13.786992,121.020252,osm,exact,2026-08-30
waltermart,silang,WalterMart Silang,south-luzon,,,https://malls.waltermart.com.ph/malls/silang/,mall,14.22922,120.970301,nominatim,exact,2026-08-30
waltermart,sta-maria,WalterMart Sta. Maria,north-luzon,,,https://malls.waltermart.com.ph/malls/sta-maria/,mall,14.822325,120.954226,nominatim,exact,2026-08-30
waltermart,sta-rosa,WalterMart Sta. Rosa,south-luzon,,,https://malls.waltermart.com.ph/malls/sta-rosa/,mall,14.267556,121.077739,osm,exact,2026-08-30
waltermart,sta-rosa-bel-air,WalterMart Sta. Rosa Bel-Air,south-luzon,,,https://malls.waltermart.com.ph/malls/sta-rosa-bel-air/,mall,,,,,2026-08-30
waltermart,subic,WalterMart Subic,north-luzon,,,https://malls.waltermart.com.ph/malls/subic/,mall,14.888499,120.23635,osm,exact,2026-08-30
waltermart,sucat,WalterMart Sucat,metro-manila,,,https://malls.waltermart.com.ph/malls/sucat/,mall,14.471085,121.007482,nominatim,exact,2026-08-30
waltermart,talavera,WalterMart Talavera,north-luzon,,,https://malls.waltermart.com.ph/malls/talavera/,mall,15.573412,120.920232,nominatim,exact,2026-08-30
waltermart,tanauan,WalterMart Tanauan,south-luzon,,,https://malls.waltermart.com.ph/malls/tanauan/,mall,14.07445,121.151515,nominatim,exact,2026-08-30
waltermart,taytay,WalterMart Taytay,metro-manila,,,https://malls.waltermart.com.ph/malls/taytay/,mall,14.579095,121.138252,nominatim,exact,2026-08-30
waltermart,the-junction,WalterMart The Junction,metro-manila,,,https://malls.waltermart.com.ph/malls/the-junction/,mall,,,,,2026-08-30
waltermart,trece-martires,WalterMart Trece Martires,south-luzon,,,https://malls.waltermart.com.ph/malls/trece-martires/,mall,14.280584,120.871182,nominatim,exact,2026-08-30
waltermart,waltermart-san-rafael,WalterMart San Rafael,north-luzon,,,https://malls.waltermart.com.ph/malls/waltermart-san-rafael/,mall,15.026548,120.933466,nominatim,exact,2026-08-30
